name,isin,symbol,market
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris
2CRSI,FR0013341781,2CRSI,Euronext Paris
2MX ORGANIC,FR0014000T90,2MX,Euronext Paris
2MX ORGANIC BS,FR0014000TB2,2MXBS,Euronext Paris
5TH PLANET GAMES,DK0060945467,5PG,Euronext Expand Oslo
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam
AASEN SPAREBANK,NO0010672181,AASB,Euronext Growth Oslo
AB INBEV,BE0974293251,ABI,Euronext Brussels
AB SCIENCE,FR0010557264,AB,Euronext Paris
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris
ABEO,FR0013185857,ABEO,Euronext Paris
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris
ABIVAX,FR0012333284,ABVX,Euronext Paris
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam
ABO GROUP,BE0974278104,ABO,Euronext Brussels
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam
ACCENTIS,BE0003696102,ACCB,Euronext Brussels
ACCOR,FR0000120404,AC,Euronext Paris
ACCOR AC SHARES,FR0014003PZ3,AAC,Euronext Paris
ACCOR AC WARRANTS,FR0014003QK3,AACW,Euronext Paris
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam
ACHETER-LOUER.FR,FR0010493510,ALALO,Euronext Growth Paris
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels
ACTEOS,FR0000076861,EOS,Euronext Paris
ACTIA GROUP,FR0000076655,ATI,Euronext Paris
ACTICOR BIOTECH,FR0014005OJ5,ALACT,Euronext Growth Paris
ACTIVIUM GROUP,FR0010979377,MLACT,Euronext Access Paris
ADA,FR0000053076,ALADA,Euronext Growth Paris
ADC SIIC,BE0974269012,ALDV,Euronext Paris
ADEUNIS,FR0013284627,ALARF,Euronext Growth Paris
ADOCIA,FR0011184241,ADOC,Euronext Paris
ADOMOS,FR0013247244,ALADO,Euronext Growth Paris
ADP,FR0010340141,ADP,Euronext Paris
ADS MARITIME HOLD,CY0108052115,ADS,Euronext Growth Oslo
ADTHINK,FR0010457531,ALADM,Euronext Growth Paris
ADUX,FR0012821890,ADUX,Euronext Paris
ADVENIS,FR0004152874,ALADV,Euronext Growth Paris
ADVICENNE,FR0013296746,ADVIC,Euronext Paris
ADVINI,FR0000053043,ADVI,Euronext Paris
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam
AEDIFICA,BE0003851681,AED,Euronext Brussels
AEGA,NO0010626559,AEGA,Euronext Expand Oslo
AEGON,NL0000303709,AGN,Euronext Amsterdam
AERKOMM INC,US00774B2088,AKOM,Euronext Paris
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris
AFYREN,FR0014005AC9,ALAFY,Euronext Growth Paris
AG3I,FR0011908045,MLAGI,Euronext Access Paris
AGEAS,BE0974264930,AGS,Euronext Brussels
AGENCE AUTO,FR0014005WE9,MLAA,Euronext Access Paris
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels
AGILYX,NO0010872468,AGLX,Euronext Growth Oslo
AGP MALAGA SOCIMI,ES0105478004,MLAGP,Euronext Access Paris
AGRIPOWER,FR0013452281,ALAGP,Euronext Growth Paris
AGROGENERATION,FR0010641449,ALAGR,Euronext Growth Paris
AGUAS DA CURIA,PTCUR0AP0000,CUR,Euronext Access Lisbon
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam
AIB GROUP PLC,IE00BF0L3536,A5G,Euronext Dublin
AIR FRANCE -KLM,FR0000031122,AF,Euronext Paris
AIR LIQUIDE,FR0000120073,AI,Euronext Paris
AIR MARINE,FR0013285103,MLAIM,Euronext Access Paris
AIRBUS,NL0000235190,AIR,Euronext Paris
AIRTHINGS,NO0010895568,AIRX,Euronext Growth Oslo
AIRTIME,IT0005450819,ALAIR,Euronext Growth Paris
AIRWELL,FR0014003V77,MLAIR,Euronext Access Paris
AJAX,NL0000018034,AJAX,Euronext Amsterdam
AKER CLEAN HYDROGE,NO0010936081,ACH,Euronext Growth Oslo
AKER OFFSHORE WIND,NO0010890312,AOW,Euronext Growth Oslo
AKKA TECHNOLOGIES,FR0004180537,AKA,Euronext Paris
AKOBO MINERALS,SE0015193412,AKOBO,Euronext Growth Oslo
AKWEL,FR0000053027,AKW,Euronext Paris
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam
ALAN ALLMAN,FR0000062465,AAA,Euronext Paris
ALBIOMA,FR0000060402,ABIO,Euronext Paris
ALBIOMA BSAAR 2018,FR0013368438,ABIBS,Euronext Growth Paris
ALCHIMIE,FR0014000JX7,ALCHI,Euronext Growth Paris
ALD,FR0013258662,ALD,Euronext Paris
ALEPH FINANCE,GB00BJ9M4V82,MLALE,Euronext Access Paris
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam
ALLFUNDS GROUP,GB00BNTJ3546,ALLFG,Euronext Amsterdam
ALMUNDA PRO NV,NL0010696704,AMUND,Euronext Amsterdam
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris
ALPHA MOS,FR0013421286,ALM,Euronext Paris
ALSTOM,FR0010220475,ALO,Euronext Paris
ALTAMIR,FR0000053837,LTA,Euronext Paris
ALTAREA,FR0000033219,ALTA,Euronext Paris
ALTAREIT,FR0000039216,AREIT,Euronext Paris
ALTEN,FR0000071946,ATE,Euronext Paris
ALTERNUS ENERGY GR,IE00BLRPRP89,ALT,Euronext Growth Oslo
ALTHEORA,FR0000061244,ALORA,Euronext Growth Paris
ALTRI SGPS,PTALT0AE0002,ALTR,Euronext Lisbon
ALTUR INVEST.,FR0010395681,ALTUR,Euronext Paris
ALUMEXX N.V.,NL0012194724,ALX,Euronext Amsterdam
ALVEEN,FR0013253812,MLALV,Euronext Access Paris
AMA CORPORATION,GB00BNKGZC51,ALAMA,Euronext Growth Paris
AMATHEON AGRI,NL0010273694,MLAAH,Euronext Access Paris
AMG,NL0000888691,AMG,Euronext Amsterdam
AMOEBA,FR0011051598,ALMIB,Euronext Growth Paris
AMPLITUDE SURGICAL,FR0012789667,AMPLI,Euronext Paris
AMSTERDAM COMMOD.,NL0000313286,ACOMO,Euronext Amsterdam
AMUNDI,FR0004125920,AMUN,Euronext Paris
