,symbol,isin,name,market
199,ALLUX.PA,FR0000060451,INSTALLUX,Euronext Growth Paris
200,ALM.PA,FR0013421286,ALPHA MOS,Euronext Paris
201,ALMAK.PA,FR0000072993,MAKHEIA GROUP,Euronext Growth Paris
202,ALMAR.PA,FR0013400835,MARE NOSTRUM,Euronext Growth Paris
203,ALMAS.PA,FR0004155687,MASTRAD,Euronext Growth Paris
204,ALMDG.PA,FR0010353888,MGI DIGITAL GRAPHI,Euronext Growth Paris
205,ALMDP.PA,FR0010844464,MEDESIS PHARMA,Euronext Growth Paris
206,ALMDT.PA,FR0011049824,MEDIANTECHNOLOGIES,Euronext Growth Paris
207,ALMER.PA,FR0010776617,SAPMER,Euronext Growth Paris
208,ALMET.PA,FR0011217710,METHANOR,Euronext Growth Paris
209,ALMGI.PA,FR0010204453,MG INTERNATIONAL,Euronext Growth Paris
210,ALMIB.PA,FR0011051598,AMOEBA,Euronext Growth Paris
211,ALMII.PA,FR0013270626,M2I,Euronext Growth Paris
212,ALMIL.PA,FR0010285965,1000MERCIS,Euronext Growth Paris
213,ALMKS.PA,ES0105463006,MAKING SCIENCE,Euronext Growth Paris
214,ALMLB.PA,FR0013053535,MILIBOO,Euronext Growth Paris
215,ALMND.PA,FR00140050Q2,MND,Euronext Growth Paris
216,ALMNG.PA,FR0010812230,MADVERTISE,Euronext Growth Paris
217,ALMOU.PA,FR0011033083,MOULINVEST,Euronext Growth Paris
218,ALMRB.PA,FR0004034320,MR BRICOLAGE,Euronext Growth Paris
219,ALMTH.PA,IT0004615396,METHORIOS CAPITAL,Euronext Growth Paris
220,ALMUN.PA,FR0013462231,MUNIC,Euronext Growth Paris
221,ALNEV.PA,FR0004032746,NEOVACS,Euronext Growth Paris
222,ALNFL.PA,FR0014003XT0,NFL BIOSCIENCES,Euronext Growth Paris
223,ALNG.OL,NO0010607971,AWILCO LNG,Euronext Expand Oslo
224,ALNLF.PA,FR0011636083,NEOLIFE,Euronext Growth Paris
225,ALNMR.PA,FR0014003J32,NAMR,Euronext Growth Paris
226,ALNN6.PA,FR0013330792,ENENSYS,Euronext Growth Paris
227,ALNOR.LS,PTNEX0AM0002,NEXPONOR-SICAFI,Euronext Growth Lisbon
228,ALNOV.PA,FR0010397232,NOVACYT,Euronext Growth Paris
229,ALNOX.PA,NL0012044762,NOXXON,Euronext Growth Paris
230,ALNRG.PA,FR0013399359,ENERGISME,Euronext Growth Paris
231,ALNSC.PA,FR0000064529,NSC GROUPE,Euronext Growth Paris
232,ALNSE.PA,FR0004065639,NSE,Euronext Growth Paris
233,ALNTG.PA,FR0004154060,NETGEM,Euronext Growth Paris
234,ALNXT.PA,FR0004171346,NEXTEDIA,Euronext Growth Paris
235,ALO.PA,FR0010220475,ALSTOM,Euronext Paris
236,ALOBR.PA,FR0010330613,OBER,Euronext Growth Paris
237,ALODC.PA,FR0014003T71,OMER-DECUGIS & CIE,Euronext Growth Paris
238,ALONC.PA,FR0011766229,ONCODESIGN,Euronext Growth Paris
239,ALONX.PA,FR0010095596,ONXEO,Euronext Growth Paris
240,ALORA.PA,FR0000061244,ALTHEORA,Euronext Growth Paris
241,ALORD.PA,FR0013318052,ORDISSIMO,Euronext Growth Paris
242,ALOSM.PA,FR0013231180,OSMOZIS,Euronext Growth Paris
243,ALPAR.PA,FR0013204070,GPE PAROT (AUTO),Euronext Growth Paris
244,ALPAT.PA,FR0010785790,PLANT ADVANCED,Euronext Growth Paris
245,ALPAU.PA,FR0013479730,PAULIC MEUNERIE,Euronext Growth Paris
246,ALPCV.PA,FR0013178712,CERINNOV GROUP,Euronext Growth Paris
247,ALPDX.PA,FR0000061608,PISCINES DESJOYAUX,Euronext Growth Paris
248,ALPER.PA,NL0012191662,LA PERLA FASHION,Euronext Growth Paris
249,ALPHA.PA,FR0011191287,PHARNEXT,Euronext Growth Paris
250,ALPHE.PA,FR0011651694,PHERECYDES PHARMA,Euronext Growth Paris
251,ALPHI.PA,ES0105029005,FACEPHI,Euronext Growth Paris
252,ALPHS.PA,BE0974302342,PHARMASIMPLE,Euronext Growth Paris
253,ALPIX.PA,FR0011950641,PIXIUM VISION,Euronext Growth Paris
254,ALPJT.PA,FR0000066441,POUJOULAT,Euronext Growth Paris
255,ALPLA.PA,FR0010211037,PLANET MEDIA,Euronext Growth Paris
256,ALPOU.PA,FR0013015583,POULAILLON,Euronext Growth Paris
257,ALPRE.PA,FR0010169920,PREDILIFE,Euronext Growth Paris
258,ALPRI.PA,FR0004044600,PRISMAFLEX INTL,Euronext Growth Paris
259,ALPRO.PA,FR0010313486,PRODWARE,Euronext Growth Paris
260,ALPTR.LS,PTPRS0AM0017,PATRIS,Euronext Growth Lisbon
261,ALQGC.PA,FR0011648971,QUANTUM GENOMICS,Euronext Growth Paris
262,ALQP.PA,ES0105118006,QUADPACK,Euronext Growth Paris
263,ALQWA.PA,FR0010889386,QWAMPLIFY,Euronext Growth Paris
264,ALREA.PA,FR0011858190,REALITES,Euronext Growth Paris
265,ALREW.PA,FR0010820274,REWORLD MEDIA,Euronext Growth Paris
266,ALRGR.PA,FR0000037640,ROUGIER S.A.,Euronext Growth Paris
267,ALRIB.PA,FR0000075954,RIBER,Euronext Growth Paris
268,ALROC.PA,FR0010523167,ROCTOOL,Euronext Growth Paris
269,ALRPD.PA,GB00BLG2TX24,RAPID NUTRITION,Euronext Growth Paris
270,ALSAF.PA,FR0013467123,SAFE,Euronext Growth Paris
271,ALSAS.PA,FR0000074775,STRADIM ESPAC.FIN,Euronext Growth Paris
272,ALSEI.PA,IT0005353484,SEIF SPA,Euronext Growth Paris
273,ALSEN.PA,FR0012596468,SENSORION,Euronext Growth Paris
274,ALSER.PA,FR0000073728,SERMA GROUP,Euronext Growth Paris
275,ALSGD.PA,FR0011464452,SPINEGUARD,Euronext Growth Paris
276,ALSIM.PA,GB00B19RTX44,KLIMVEST,Euronext Growth Paris
277,ALSPT.PA,FR00140043Y1,SPARTOO,Euronext Growth Paris
278,ALSPW.PA,FR0011398874,SPINEWAY,Euronext Growth Paris
279,ALSTW.PA,FR0010528059,STREAMWIDE,Euronext Growth Paris
280,ALT.OL,IE00BLRPRP89,ALTERNUS ENERGY GR,Euronext Growth Oslo
281,ALTA.PA,FR0000033219,ALTAREA,Euronext Paris
282,ALTAN.PA,FR0000075673,LE TANNEUR,Euronext Growth Paris
283,ALTBG.PA,FR0011053636,THE BLOCKCHAIN GP,Euronext Growth Paris
284,ALTBM.PA,FR0011668821,TOQUES BLANCHES,Euronext Growth Paris
285,ALTER.PA,FR0004197747,THERADIAG,Euronext Growth Paris
286,ALTEV.PA,FR0010278762,ENVEA,Euronext Growth Paris
287,ALTHE.PA,FR0010120402,THERACLION,Euronext Growth Paris
288,ALTHX.PA,FR0013286259,THERANEXUS,Euronext Growth Paris
289,ALTIV.PA,FR0000060949,TIVOLY,Euronext Growth Paris
290,ALTLX.PA,LU0394945660,TOOLUX SANDING,Euronext Growth Paris
291,ALTOO.PA,FR00140062B9,TOOSLA,Euronext Growth Paris
292,ALTR.LS,PTALT0AE0002,ALTRI SGPS,Euronext Lisbon
293,ALTRI.PA,FR0010397901,TRILOGIQ,Euronext Growth Paris
294,ALTRO.PA,FR0004175099,TRONICS,Euronext Growth Paris
295,ALTTI.PA,FR0010383877,TTI,Euronext Growth Paris
296,ALTUR.PA,FR0010395681,ALTUR INVEST.,Euronext Paris
297,ALTUV.PA,FR0013345493,BIO-UV GROUP,Euronext Growth Paris
298,ALTVO.PA,FR0004166197,EVOLIS,Euronext Growth Paris
299,ALTXC.PA,FR0010654087,TXCOM,Euronext Growth Paris
300,ALU10.PA,FR0000079147,U10 CORP,Euronext Growth Paris
301,ALUCI.PA,FR0011884378,LUCIBEL,Euronext Growth Paris
302,ALUCR.PA,FR0011070457,UCAR,Euronext Growth Paris
303,ALUMS.PA,FR0013263878,UMANIS,Euronext Growth Paris
304,ALUNT.PA,FR0012709160,UNITI,Euronext Growth Paris
305,ALUPG.PA,FR0010337865,UPERGY,Euronext Growth Paris
306,ALUVI.PA,FR0011898584,UV GERMI,Euronext Growth Paris
307,ALVAL.PA,FR0013254851,VALBIOTIS,Euronext Growth Paris
308,ALVAP.PA,FR0013419876,KUMULUS VAPE,Euronext Growth Paris
309,ALVDM.PA,FR0004045847,VOYAGEURS DU MONDE,Euronext Growth Paris
310,ALVER.PA,FR0004155240,VERGNET,Euronext Growth Paris
311,ALVET.PA,BE0974387194,THERAVET,Euronext Growth Paris
312,ALVGO.PA,FR0011532225,VOGO,Euronext Growth Paris
313,ALVIA.PA,FR0010326090,VIALIFE,Euronext Growth Paris
314,ALVIV.PA,FR0004029478,VISIATIV,Euronext Growth Paris
315,ALVMG.PA,FR0013481835,VISIOMED GROUP,Euronext Growth Paris
316,ALVU.PA,FR0010766667,VENTE UNIQUE.COM,Euronext Growth Paris
317,ALWEC.PA,FR0013079092,WE.CONNECT,Euronext Growth Paris
318,ALWED.PA,FR0010688440,WEDIA,Euronext Growth Paris
319,ALWF.PA,FR0014000P11,WINFARM,Euronext Growth Paris
320,ALWIT.PA,FR0013143872,WITBE,Euronext Growth Paris
321,ALX.AS,NL0012194724,ALUMEXX N.V.,Euronext Amsterdam
322,AM.PA,FR0014004L86,DASSAULT AVIATION,Euronext Paris
323,AMG.AS,NL0000888691,AMG,Euronext Amsterdam
324,AMPLI.PA,FR0012789667,AMPLITUDE SURGICAL,Euronext Paris
325,AMUN.PA,FR0004125920,AMUNDI,Euronext Paris
326,AMUND.AS,NL0010696704,ALMUNDA PRO NV,Euronext Amsterdam
327,ANDF.OL,NO0010829765,ANDFJORD SALMON,Euronext Growth Oslo
328,ANT.BE,BE0003676872,ANTARES CERT,Euronext Brussels
329,ANTIN.PA,FR0014005AL0,ANTIN INFRA PARTN,Euronext Paris
330,AOW.OL,NO0010890312,AKER OFFSHORE WIND,Euronext Growth Oslo
331,APAM.AS,LU0569974404,APERAM,Euronext Amsterdam
332,APM.PA,KYG6096M1069,APTORUM GROUP CL A,Euronext Paris
333,ARAMI.PA,FR0014003U94,ARAMIS GROUP,Euronext Paris
334,ARCAD.AS,NL0006237562,ARCADIS,Euronext Amsterdam
335,ARDO.PA,FR0004070795,ARDOIN ST AMAND B,Euronext Access Paris
336,AREIT.PA,FR0000039216,ALTAREIT,Euronext Paris
337,ARG.PA,FR0010481960,ARGAN,Euronext Paris
338,ARGEO.OL,NO0010946593,ARGEO,Euronext Growth Oslo
339,ARGX.BE,NL0010832176,ARGENX SE,Euronext Brussels
340,ARTE.PA,FR0012185536,ARTEA,Euronext Paris
341,ARTO.PA,FR0000076952,ARTOIS NOM.,Euronext Paris
342,ASC.BE,BE0003856730,ASCENCIO,Euronext Brussels
343,ASIT.BE,BE0974289218,ASIT,Euronext Brussels
344,ASM.AS,NL0000334118,ASM INTERNATIONAL,Euronext Amsterdam
345,ASML.AS,NL0010273215,ASML HOLDING,Euronext Amsterdam
346,ASP.PA,FR0000076887,A.S.T. GROUPE,Euronext Paris
347,ASRNL.AS,NL0011872643,ASR NEDERLAND,Euronext Amsterdam
348,ASTRO.OL,CH1122548808,ASTROCAST,Euronext Growth Oslo
349,ASY.PA,FR0000074148,ASSYSTEM,Euronext Paris
350,ATA.PA,FR0010478248,ATARI,Euronext Paris
351,ATE.PA,FR0000071946,ALTEN,Euronext Paris
352,ATEB.BE,BE0003837540,ATENOR,Euronext Brussels
353,ATEME.PA,FR0011992700,ATEME,Euronext Paris
354,ATI.PA,FR0000076655,ACTIA GROUP,Euronext Paris
355,ATO.PA,FR0000051732,ATOS,Euronext Paris
356,ATRS.AS,JE00B3DCF752,ATRIUM EUR REALEST,Euronext Amsterdam
357,AUB.PA,FR0000063737,AUBAY,Euronext Paris
358,AUGR.PA,FR0000061780,AUGROS COSMETICS,Euronext Paris
359,AURA.OL,NO0011032310,AURORA EIENDOM,Euronext Growth Oslo
360,AURE.PA,FR0000039232,AUREA,Euronext Paris
361,AURS.PA,FR0013183589,AURES TECHNOLOGIES,Euronext Paris
362,AVT.PA,FR0013529815,AVENIR TELECOM,Euronext Paris
363,AVTX.AS,NL0012047823,AVANTIUM,Euronext Amsterdam
364,AXS.AS,GB00BQQFX454,ACCSYS,Euronext Amsterdam
365,AXW.PA,FR0011040500,AXWAY SOFTWARE,Euronext Paris
366,AYFIE.OL,NO0010793243,AYFIE GROUP,Euronext Growth Oslo
367,AZE.BE,BE0974400328,AZELIS GROUP,Euronext Brussels
368,BACE.AS,KYG137071075,BRIGADE M3 SHA,Euronext Amsterdam
369,BACEU.AS,KYG137071158,BRIGADE M3 UNITS,Euronext Amsterdam
370,BAIN.PA,MC0000031187,BAINS MER MONACO,Euronext Paris
371,BALT.OL,NO0010810476,BALTIC SEA PROP,Euronext Growth Oslo
372,BALTA.BE,BE0974314461,BALTA GROUP,Euronext Brussels
373,BALYO.PA,FR0013258399,BALYO,Euronext Paris
